--- Log Capture Start: 20260214_144931 ---
02-14 14:14:18.138 D/BleProximity: 📶 RSSI: -81
02-14 14:14:18.439 D/BleProximity: 📶 RSSI: -77
02-14 14:14:18.743 D/BleProximity: 📶 RSSI: -80
02-14 14:14:19.046 D/BleProximity: 📶 RSSI: -79
02-14 14:14:19.348 D/BleProximity: 📶 RSSI: -80
02-14 14:14:19.651 D/BleProximity: 📶 RSSI: -81
02-14 14:14:19.953 D/BleProximity: 📶 RSSI: -84
02-14 14:14:20.255 D/BleProximity: 📶 RSSI: -84
02-14 14:14:20.556 D/BleProximity: 📶 RSSI: -82
02-14 14:14:20.866 D/BleProximity: 📶 RSSI: -83
02-14 14:14:21.170 D/BleProximity: 📶 RSSI: -80
02-14 14:14:21.477 D/BleProximity: 📶 RSSI: -84
02-14 14:14:21.781 D/BleProximity: 📶 RSSI: -86
02-14 14:14:22.083 D/BleProximity: 📶 RSSI: -86
02-14 14:14:22.382 D/BleProximity: 📶 RSSI: -82
02-14 14:14:22.686 D/BleProximity: 📶 RSSI: -84
02-14 14:14:22.991 D/BleProximity: 📶 RSSI: -85
02-14 14:14:23.298 D/BleProximity: 📶 RSSI: -85
02-14 14:14:23.609 D/BleProximity: 📶 RSSI: -85
02-14 14:14:23.913 D/BleProximity: 📶 RSSI: -87
02-14 14:14:24.213 D/BleProximity: 📶 RSSI: -84
02-14 14:14:24.525 D/BleProximity: 📶 RSSI: -81
02-14 14:14:24.828 D/BleProximity: 📶 RSSI: -80
02-14 14:14:25.129 D/BleProximity: 📶 RSSI: -81
02-14 14:14:25.432 D/BleProximity: 📶 RSSI: -83
02-14 14:14:25.737 D/BleProximity: 📶 RSSI: -79
02-14 14:14:26.040 D/BleProximity: 📶 RSSI: -82
02-14 14:14:26.332 D/BleProximity: 📶 RSSI: -86
02-14 14:14:26.640 D/BleProximity: 📶 RSSI: -79
02-14 14:14:26.943 D/BleProximity: 📶 RSSI: -78
02-14 14:14:27.243 D/BleProximity: 📶 RSSI: -79
02-14 14:14:27.545 D/BleProximity: 📶 RSSI: -77
02-14 14:14:27.845 D/BleProximity: 📶 RSSI: -74
02-14 14:14:28.153 D/BleProximity: 📶 RSSI: -74
02-14 14:14:28.454 D/BleProximity: 📶 RSSI: -77
02-14 14:14:28.758 D/BleProximity: 📶 RSSI: -78
02-14 14:14:29.055 D/BleProximity: 📶 RSSI: -80
02-14 14:14:29.366 D/BleProximity: 📶 RSSI: -81
02-14 14:14:29.667 D/BleProximity: 📶 RSSI: -82
02-14 14:14:29.971 D/BleProximity: 📶 RSSI: -82
02-14 14:14:30.273 D/BleProximity: 📶 RSSI: -82
02-14 14:14:30.572 D/BleProximity: 📶 RSSI: -81
02-14 14:14:30.871 D/BleProximity: 📶 RSSI: -80
02-14 14:14:31.177 D/BleProximity: 📶 RSSI: -80
02-14 14:14:31.486 D/BleProximity: 📶 RSSI: -85
02-14 14:14:31.789 D/BleProximity: 📶 RSSI: -85
02-14 14:14:32.095 D/BleProximity: 📶 RSSI: -84
02-14 14:14:32.401 D/BleProximity: 📶 RSSI: -83
02-14 14:14:32.703 D/BleProximity: 📶 RSSI: -85
02-14 14:14:33.005 D/BleProximity: 📶 RSSI: -84
02-14 14:14:33.317 D/BleProximity: 📶 RSSI: -87
02-14 14:14:33.623 D/BleProximity: 📶 RSSI: -86
02-14 14:14:33.923 D/BleProximity: 📶 RSSI: -89
02-14 14:14:34.224 D/BleProximity: 📶 RSSI: -89
02-14 14:14:34.519 D/BleProximity: 📶 RSSI: -88
02-14 14:14:34.820 D/BleProximity: 📶 RSSI: -89
02-14 14:14:35.127 D/BleProximity: 📶 RSSI: -90
02-14 14:14:35.429 D/BleProximity: 📶 RSSI: -84
02-14 14:14:35.733 D/BleProximity: 📶 RSSI: -83
02-14 14:14:36.033 D/BleProximity: 📶 RSSI: -81
02-14 14:14:36.338 D/BleProximity: 📶 RSSI: -83
02-14 14:14:36.652 D/BleProximity: 📶 RSSI: -84
02-14 14:14:36.957 D/BleProximity: 📶 RSSI: -88
02-14 14:14:37.259 D/BleProximity: 📶 RSSI: -84
02-14 14:14:37.563 D/BleProximity: 📶 RSSI: -85
02-14 14:14:37.863 D/BleProximity: 📶 RSSI: -83
02-14 14:14:38.176 D/BleProximity: 📶 RSSI: -80
02-14 14:14:38.177 D/BleProximity: 🔒 <<< 触发上锁 <<<
02-14 14:14:38.177 D/BleProximity: 原因: 信号均值(-84) < 阈值(-83.0) 
02-14 14:14:38.177 D/BleProximity: 📤 发送指令: 锁车门
02-14 14:14:38.227 D/BleProximity: 收到认证挑战：uuid: E6B0E704-BD48-4CA4-8EC4-7C6503C24AF4, value: e3bd64c45c92
02-14 14:14:38.228 D/BleProximity: 🔐 处理认证挑战: 653362643634633435633932
02-14 14:14:38.476 D/BleProximity: 📶 RSSI: -86
02-14 14:14:38.783 D/BleProximity: 📶 RSSI: -82
02-14 14:14:39.087 D/BleProximity: 📶 RSSI: -83
02-14 14:14:39.250 D/BleProximity: 收到认证挑战：uuid: 6CB493E3-7D21-46FB-A7F6-003E2464267E, value: 02
02-14 14:14:39.251 D/BleProximity: 上锁成功
02-14 14:14:39.251 D/BleProximity: 📊 指令出队: 锁车门 -> SUCCESS
02-14 14:14:39.251 D/BleProximity: 🔒 上锁结果: SUCCESS
02-14 14:14:39.253 D/BleProximity: 🔄 同步状态: 车辆已上锁
02-14 14:14:39.388 D/BleProximity: 📶 RSSI: -78
