--- Log Capture Start: 20260515_115934 ---
05-15 11:59:25.089 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:25.192 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:25.300 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:25.404 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:25.504 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:25.613 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:25.718 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:25.825 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:25.926 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:26.030 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:26.137 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:26.258 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:26.361 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:26.466 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:26.575 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:26.678 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:26.781 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:26.888 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:27.009 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:27.091 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:27.193 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:27.296 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:27.405 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:27.521 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:27.633 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:27.730 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:27.839 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:27.950 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:28.057 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:28.157 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:28.269 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:28.369 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:28.471 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:28.576 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:28.681 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:28.786 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:28.885 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:28.985 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:29.089 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:29.192 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:29.298 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:29.403 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:29.528 D/BleProximity: 📡 EMA 信号: -67 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:29.635 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:29.733 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:29.840 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:29.949 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:30.045 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:30.154 D/BleProximity: 📡 EMA 信号: -66 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:30.281 D/BleProximity: 📡 EMA 信号: -65 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:30.366 D/BleProximity: 📡 EMA 信号: -65 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:30.467 D/BleProximity: 📡 EMA 信号: -65 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:30.573 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:30.677 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:30.788 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:30.892 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:30.993 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:31.105 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:31.202 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:31.307 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:31.412 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:31.510 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:31.618 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:31.723 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:31.826 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:31.929 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:32.054 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:32.160 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:32.261 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:32.363 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:32.467 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:32.576 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:32.679 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:32.791 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:32.882 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:32.988 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:33.088 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:33.194 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:33.316 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:33.418 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:33.522 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:33.630 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:33.735 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:33.834 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:33.938 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:34.058 D/BleProximity: 📡 EMA 信号: -63 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:34.149 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:34.254 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:34.357 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:34.463 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-95.0 | 解锁阈值:-60.0
05-15 11:59:34.566 D/BleProximity: 📡 EMA 信号: -64 | 落锁阈值:-95.0 | 解锁阈值:-60.0
