--- Log Capture Start: 20260430_161409 ---
04-30 16:07:06.218 D/BleProximity: 📡 EMA 信号: -73 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:06.519 D/BleProximity: 📡 EMA 信号: -73 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:06.819 D/BleProximity: 📡 EMA 信号: -74 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:07.119 D/BleProximity: 📡 EMA 信号: -74 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:07.425 D/BleProximity: 📡 EMA 信号: -74 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:07.741 D/BleProximity: 📡 EMA 信号: -73 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:08.038 D/BleProximity: 📡 EMA 信号: -73 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:08.354 D/BleProximity: 📡 EMA 信号: -73 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:08.653 D/BleProximity: 📡 EMA 信号: -73 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:08.952 D/BleProximity: 📡 EMA 信号: -73 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:09.267 D/BleProximity: 📡 EMA 信号: -73 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:09.565 D/BleProximity: 📡 EMA 信号: -72 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:09.872 D/BleProximity: 📡 EMA 信号: -72 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:10.179 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:10.487 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:10.793 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:11.100 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:11.407 D/BleProximity: 📡 EMA 信号: -72 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:11.714 D/BleProximity: 📡 EMA 信号: -72 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:12.021 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:12.328 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:12.635 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:12.942 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:13.250 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:13.556 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:13.872 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:14.170 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:14.477 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:14.785 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:15.091 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:15.406 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:15.705 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:16.020 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:16.319 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:16.626 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:16.933 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:17.248 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
04-30 16:07:17.547 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-87.0 | 解锁阈值:-90.0
